,ConnectiveAdditiveIncidence,redability,word_count,ConnectiveLogicIncidence,syllable_count,avg_word_per_sentence,LogicIfIncidence,LogicAndIncidence,ContentDiversty,pronIncidence,LogicOperatorsIncidence,verbIncidence,functionalIncidence,nounIncidence,LogicOrIncidence,adjectiveIncidence,LogicNegationIncidence,contentIncidence,ConnectiveIncidence,avg_syllables_per_word,ConnectiveTemporalIncidence,sentence_count,ConnectiveCasualIncidence,advIncidence,LexicalDiversty
0,26.5486725664,11.9,452.0,24.3362831858,678.0,25.1111111111,0.0,19.9115044248,0.734375,34.0425531915,26.5486725664,132.743362832,314.159292035,314.159292035,4.42477876106,79.6460176991,2.21238938053,566.371681416,26.5486725664,1.5,11.0619469027,18.0,13.2743362832,39.8230088496,0.54203539823
0,22.972972973,11.8,740.0,22.972972973,1135.0,23.8709677419,0.0,21.6216216216,0.695754716981,40.2075226978,31.0810810811,174.324324324,347.297297297,304.054054054,1.35135135135,74.3243243243,8.10810810811,572.972972973,28.3783783784,1.53378378378,12.1621621622,31.0,4.05405405405,20.2702702703,0.493243243243
0,19.5729537367,12.7,562.0,23.1316725979,826.0,28.1,0.0,19.5729537367,0.646302250804,20.618556701,23.1316725979,117.43772242,309.608540925,302.491103203,0.0,101.423487544,3.55871886121,553.380782918,28.4697508897,1.46975088968,26.6903914591,20.0,5.33807829181,32.0284697509,0.475088967972
0,40.0,9.7,900.0,42.2222222222,1203.0,24.3243243243,2.22222222222,40.0,0.627254509018,44.8239060832,43.3333333333,132.222222222,308.888888889,324.444444444,0.0,81.1111111111,1.11111111111,554.444444444,40.0,1.33666666667,13.3333333333,37.0,10.0,16.6666666667,0.442222222222
0,25.7648953301,11.2,1242.0,27.3752012882,1755.0,25.875,0.805152979066,21.7391304348,0.548517520216,29.4573643411,24.154589372,123.993558776,247.987117552,380.032206119,0.0,73.268921095,1.61030595813,597.423510467,33.8164251208,1.41304347826,24.959742351,48.0,5.63607085346,20.1288244767,0.403381642512
0,29.3159609121,11.5,921.0,24.9728555917,1360.0,24.8918918919,0.0,23.8870792617,0.62851782364,49.0605427975,30.4017372421,166.123778502,318.132464712,326.818675353,0.0,51.0314875136,6.51465798046,578.718783931,30.4017372421,1.4766558089,18.4581976113,37.0,8.68621064061,34.7448425624,0.458197611292
0,14.0679953107,11.6,853.0,16.4126611958,1294.0,23.6944444444,2.34466588511,12.8956623681,0.668058455115,23.6486486486,21.101992966,155.92028136,271.981242673,290.738569754,1.17233294256,94.958968347,4.68933177022,561.547479484,18.7573270809,1.51699882767,15.2403282532,36.0,10.550996483,19.9296600234,0.486518171161
0,13.7457044674,12.3,1164.0,24.9140893471,1707.0,27.0697674419,4.29553264605,12.0274914089,0.577319587629,33.9966832504,27.4914089347,167.525773196,316.151202749,268.041237113,6.87285223368,79.8969072165,4.29553264605,583.333333333,30.9278350515,1.46649484536,14.6048109966,43.0,16.323024055,67.8694158076,0.426116838488
0,18.3696900115,10.6,871.0,26.4064293915,1237.0,24.1944444444,4.59242250287,17.2215843858,0.650627615063,55.1267916207,34.4431687715,159.586681975,347.876004592,268.656716418,2.29621125144,76.9230769231,10.3329506315,548.794489093,24.1102181401,1.42020665901,16.07347876,36.0,9.18484500574,43.6280137773,0.444316877153
0,25.9849119866,13.8,1193.0,25.1466890193,1767.0,30.5897435897,0.0,23.4702430847,0.496382054993,12.1852152721,27.6613579212,154.233025985,264.87845767,321.877619447,0.0,68.7342833194,4.19111483655,579.212070411,25.9849119866,1.48113998324,15.9262363789,39.0,5.02933780386,34.3671416597,0.377200335289
0,21.8712029162,16.2,823.0,27.9465370595,1286.0,34.2916666667,2.43013365735,19.4410692588,0.640167364017,42.5531914894,34.0218712029,170.109356015,320.77764277,295.261239368,3.64520048603,75.3341433779,8.50546780073,580.801944107,29.1616038882,1.56257594168,10.9356014581,24.0,14.5808019441,40.0972053463,0.458080194411
0,21.5968586387,14.1,1528.0,23.5602094241,2270.0,31.1836734694,1.30890052356,20.2879581152,0.460407239819,11.421319797,26.832460733,152.486910995,267.670157068,327.22513089,0.0,69.3717277487,5.23560209424,578.534031414,21.5968586387,1.48560209424,15.7068062827,49.0,5.23560209424,29.4502617801,0.34554973822
0,31.1004784689,9.6,836.0,35.8851674641,1123.0,23.8857142857,0.0,29.9043062201,0.651639344262,67.7382319173,37.0813397129,171.052631579,319.377990431,289.473684211,1.1961722488,70.5741626794,5.98086124402,583.732057416,40.6698564593,1.34330143541,23.9234449761,35.0,14.3540669856,52.6315789474,0.47009569378
0,33.4672021419,25.4,747.0,37.4832663989,1175.0,57.4615384615,0.0,32.1285140562,0.618336886994,14.4927536232,40.1606425703,78.9825970549,194.109772423,472.556894244,5.3547523427,70.9504685408,2.67737617135,627.844712182,38.8219544846,1.57295850067,1.33868808568,13.0,0.0,5.3547523427,0.459170013387
0,21.7640320733,12.3,873.0,25.2004581901,1386.0,23.5945945946,1.14547537228,21.7640320733,0.649056603774,11.00110011,25.2004581901,158.075601375,264.604810997,378.006872852,2.29095074456,59.5647193585,0.0,607.101947308,24.0549828179,1.58762886598,20.618556701,37.0,4.58190148912,11.4547537228,0.485681557847
0,21.3723284589,15.7,889.0,23.6220472441,1350.0,34.1923076923,2.24971878515,20.2474690664,0.570576540755,27.3224043716,25.8717660292,169.853768279,316.085489314,296.96287964,1.12485939258,73.1158605174,2.24971878515,565.804274466,28.1214848144,1.51856017998,11.2485939258,26.0,2.24971878515,25.8717660292,0.40607424072
0,17.4632352941,14.0,1088.0,15.625,1670.0,29.4054054054,0.0,12.8676470588,0.687987519501,22.2222222222,17.4632352941,136.029411765,325.367647059,324.448529412,0.919117647059,85.4779411765,3.67647058824,589.154411765,18.3823529412,1.53492647059,20.2205882353,37.0,11.9485294118,43.1985294118,0.488051470588
0,27.5633958104,11.9,907.0,33.0760749724,1435.0,22.675,1.10253583241,22.0507166483,0.633393829401,32.7695560254,33.0760749724,163.175303197,289.966923925,329.658213892,7.7177508269,84.8952590959,2.20507166483,607.49724366,33.0760749724,1.58213891951,19.8456449835,40.0,13.230429989,29.7684674752,0.477398015436
0,21.4504596527,8.3,979.0,26.557711951,1381.0,18.4716981132,3.06435137896,21.4504596527,0.556492411467,49.4665373424,29.6220633299,175.68947906,294.17773238,320.735444331,2.04290091931,61.2870275792,3.06435137896,605.720122574,29.6220633299,1.41062308478,6.12870275792,53.0,10.2145045965,48.0081716037,0.416751787538
0,18.9431704885,7.8,1003.0,22.9312063809,1337.0,19.6666666667,0.0,15.9521435693,0.684418145957,105.213270142,26.9192422732,158.52442672,349.950149551,232.303090728,0.997008973081,54.8354935194,9.97008973081,505.483549352,22.9312063809,1.33300099701,20.9371884347,51.0,7.97607178465,59.8205383848,0.442671984048
